NODE_ID,LATITUDE,LONGITUDE
0,47.4818175,18.9984016
1,47.4806347,18.9995899
2,47.4795394,19.0010591
3,47.4794096,19.0011961
4,47.4791409,19.0014335
5,47.4774022,19.0028183
6,47.4768736,19.0031683
7,47.4768102,19.0032064
8,47.4764999,19.0033013
9,47.4764269,19.0032986
10,47.4758671,19.0032655
11,47.4757195,19.003334
12,47.4756195,19.0034639
13,47.4754448,19.0039858
14,47.4751455,19.0049217
15,47.4743547,19.0066519
16,47.4741971,19.0069075
17,47.4668328,19.0162363
18,47.4743279,19.0239872
19,47.4710342,19.0010529
20,47.4840086,19.0079097
21,47.4837433,19.0066883
22,47.4655059,19.0133721
23,47.4670503,19.0168866
24,47.4737966,19.022368
25,47.4735271,19.0222444
26,47.4725718,19.0216718
27,47.4720475,19.0212625
28,47.4713007,19.0204218
29,47.4743333,19.0238977
30,47.4744899,19.0231031
31,47.474358,19.0228141
32,47.474164,18.9953107
33,47.474448,18.9946184
34,47.4744721,18.9944683
35,47.4744705,18.9940073
36,47.4743935,18.9936681
37,47.4737242,18.9916954
38,47.4711597,19.0008581
39,47.4708864,19.0012514
40,47.4721801,18.9986333
41,47.4734329,18.9963153
42,47.4759875,18.9873057
43,47.4741134,18.9905035
44,47.4739503,18.9907306
45,47.4738493,18.9909507
46,47.4738126,18.9910724
47,47.473726,18.9916284
48,47.4761377,18.9871154
49,47.4736385,18.9915173
50,47.4763325,18.9870055
51,47.4774312,18.9887696
52,47.4775693,18.9891145
53,47.4784993,18.9920316
54,47.4786593,18.992219
55,47.4787776,18.9922853
56,47.4789091,18.9923182
57,47.4807888,18.9925472
58,47.4811157,18.9930115
59,47.4811574,18.9930861
60,47.481203,18.9932222
61,47.4813985,18.995158
62,47.4816557,18.9966885
63,47.481685,18.9969509
64,47.4816845,18.997173
65,47.4817173,18.9985803
66,47.4763367,18.986909
67,47.4761245,18.986498
68,47.4760498,18.9863349
69,47.4758985,18.9860008
70,47.4757867,18.985885
71,47.4757031,18.9858841
72,47.4755882,18.9858884
73,47.4753832,18.9859179
74,47.4746042,18.9860166
75,47.4738168,18.9861597
76,47.4735727,18.9862065
77,47.4733738,18.9862444
78,47.473165,18.9863629
79,47.472815,18.9857693
80,47.4749197,18.9892656
81,47.4747927,18.9890227
82,47.4747399,18.9888307
83,47.4746681,18.9886388
84,47.4745979,18.9884851
85,47.4745282,18.9883377
86,47.4743914,18.9881075
87,47.4743083,18.9879938
88,47.473702,18.9872412
89,47.4714394,19.0060416
90,47.4741174,19.002617
91,47.4745924,19.001886
92,47.4747923,19.0014801
93,47.4758416,18.9984776
94,47.4764639,18.9962971
95,47.47666,18.9958897
96,47.4768284,18.9955607
97,47.477176,18.9950422
98,47.4772608,18.9949511
99,47.4778771,18.9945297
100,47.4789655,18.9943123
101,47.479177,18.9942311
102,47.4794575,18.9939214
103,47.4804923,18.9924629
104,47.4716265,19.0010176
105,47.4716974,19.0012232
106,47.4718436,19.001672
107,47.4719575,19.0019141
108,47.4722718,19.0022162
109,47.4728938,19.0028045
110,47.4732382,19.003294
111,47.4734045,19.0035861
112,47.4734847,19.0038706
113,47.4734896,19.0041009
114,47.4733837,19.0050692
115,47.4733639,19.0054988
116,47.4733939,19.0056676
117,47.4735598,19.0063036
118,47.4738939,19.0071849
119,47.4739307,19.0072764
120,47.4713155,19.0005824
121,47.4697995,19.0022173
122,47.4708774,19.0040193
123,47.4712508,19.0041419
124,47.4680016,19.0037985
125,47.4680703,19.0039029
126,47.468107,19.0039366
127,47.4681494,19.0039366
128,47.4682801,19.003932
129,47.4699793,19.0059386
130,47.470866,19.0069965
131,47.4702504,19.008079
132,47.4675408,19.0049274
133,47.4664545,19.0076653
134,47.4663682,19.0079188
135,47.4663072,19.0080718
136,47.4662593,19.0081916
137,47.4662007,19.0084493
138,47.4660357,19.009398
139,47.4659321,19.0099222
140,47.4659085,19.0099867
141,47.4658686,19.0100446
142,47.4658254,19.0100709
143,47.4657723,19.0100827
144,47.4657383,19.0101127
145,47.4651093,19.0119444
146,47.4649856,19.0120404
147,47.464986,19.0064076
148,47.4655211,19.0077301
149,47.4655947,19.0078906
150,47.4656968,19.0080983
151,47.465828,19.0083408
152,47.4659607,19.0085386
153,47.4660759,19.0086402
154,47.4661644,19.0086813
155,47.4641111,19.0074033
156,47.466359,19.0153195
157,47.4668835,19.0108234
158,47.4718689,19.005144
159,47.4733913,19.0031825
160,47.4738622,19.0026572
161,47.4745558,19.0016769
162,47.474629,19.0015204
163,47.4753557,18.9997126
164,47.4756238,18.9989246
165,47.4709462,19.0017676
166,47.4710652,19.0020017
167,47.4712825,19.0023623
168,47.4718066,19.0029887
169,47.4709713,19.0040453
170,47.472613,19.0044197
171,47.4705072,19.0049464
172,47.4704132,19.0032516
173,47.4701652,19.0035012
174,47.4701041,19.0035804
175,47.4706536,19.0085838
176,47.4708339,19.008909
177,47.4709116,19.0090771
178,47.4709884,19.0092923
179,47.4710533,19.0094963
180,47.4718047,19.0128726
181,47.4720348,19.0134846
182,47.4721193,19.0136653
183,47.4722143,19.013794
184,47.472513,19.0142689
185,47.4725937,19.0143725
186,47.4727368,19.0145325
187,47.4736578,19.015452
188,47.4738812,19.0157256
189,47.4740549,19.0159312
190,47.4742217,19.0161531
191,47.4745822,19.0167563
192,47.4750408,19.017898
193,47.4757033,19.0189878
194,47.4757904,19.0191102
195,47.4675835,19.0153537
